"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"113年 8月底","男",50543,6784,810,1536,41412,1,49599,6611,770,1474,40743,1,530,120,33,16,361,－,414,53,7,46,308,－
"113年 8月底","女",37525,20971,1894,243,14417,－,7435,599,167,202,6467,－,29747,20344,1725,36,7642,－,343,28,2,5,308,－
"113年 9月底","合計",88881,27911,2719,1801,56449,1,57746,7310,949,1697,47789,1,30325,20508,1761,51,8005,－,810,93,9,53,655,－
"113年 9月底","男",51158,6878,819,1557,41903,1,50204,6704,780,1494,41225,1,530,119,33,15,363,－,424,55,6,48,315,－
"113年 9月底","女",37723,21033,1900,244,14546,－,7542,606,169,203,6564,－,29795,20389,1728,36,7642,－,386,38,3,5,340,－
"113年 10月底","合計",89666,28101,2726,1811,57027,1,58402,7410,947,1706,48338,1,30396,20582,1770,51,7993,－,868,109,9,54,696,－
"113年 10月底","男",51726,6965,819,1568,42373,1,50766,6791,780,1504,41690,1,533,118,33,15,367,－,427,56,6,49,316,－
"113年 10月底","女",37940,21136,1907,243,14654,－,7636,619,167,202,6648,－,29863,20464,1737,36,7626,－,441,53,3,5,380,－
"113年 11月底","合計",90269,28283,2731,1831,57423,1,58896,7524,953,1729,48689,1,30423,20631,1769,50,7973,－,950,128,9,52,761,－
"113年 11月底","男",52145,7072,824,1581,42667,1,51188,6900,785,1519,41983,1,531,116,33,15,367,－,426,56,6,47,317,－
"113年 11月底","女",38124,21211,1907,250,14756,－,7708,624,168,210,6706,－,29892,20515,1736,35,7606,－,524,72,3,5,444,－
"113年 12月底","合計",90928,28557,2744,1842,57784,1,59394,7669,957,1738,49029,1,30490,20738,1779,50,7923,－,1044,150,8,54,832,－
"113年 12月底","男",52570,7206,827,1588,42948,1,51603,7032,789,1525,42256,1,534,117,33,15,369,－,433,57,5,48,323,－
"113年 12月底","女",38358,21351,1917,254,14836,－,7791,637,168,213,6773,－,29956,20621,1746,35,7554,－,611,93,3,6,509,－
"114年底","合計",94542,29700,2688,1936,60217,1,63079,8816,946,1840,51476,1,30837,20809,1735,51,8242,－,626,75,7,45,499,－
"114年底","男",55750,8289,814,1676,44970,1,54811,8127,780,1621,44282,1,533,106,29,14,384,－,406,56,5,41,304,－
"114年底","女",38792,21411,1874,260,15247,－,8268,689,166,219,7194,－,30304,20703,1706,37,7858,－,220,19,2,4,195,－
"114年 1月底","合計",90833,28636,2750,1835,57611,1,59280,7719,956,1732,48872,1,30453,20753,1785,50,7865,－,1100,164,9,53,874,－
"114年 1月底","男",52421,7246,827,1580,42767,1,51462,7074,789,1518,42080,1,530,116,33,15,366,－,429,56,5,47,321,－
"114年 1月底","女",38412,21390,1923,255,14844,－,7818,645,167,214,6792,－,29923,20637,1752,35,7499,－,671,108,4,6,553,－
"114年 2月底","合計",91861,28724,2752,1820,58564,1,60250,7810,961,1715,49763,1,30403,20719,1782,51,7851,－,1208,195,9,54,950,－
"114年 2月底","男",53332,7334,832,1568,43597,1,52358,7166,794,1505,42892,1,534,113,33,16,372,－,440,55,5,47,333,－
"114年 2月底","女",38529,21390,1920,252,14967,－,7892,644,167,210,6871,－,29869,20606,1749,35,7479,－,768,140,4,7,617,－
"114年 3月底","合計",92627,28842,2758,1831,59195,1,60918,7902,970,1723,50322,1,30400,20725,1779,52,7844,－,1309,215,9,56,1029,－
"114年 3月底","男",53930,7416,839,1577,44097,1,52948,7247,800,1512,43388,1,532,112,34,16,370,－,450,57,5,49,339,－
"114年 3月底","女",38697,21426,1919,254,15098,－,7970,655,170,211,6934,－,29868,20613,1745,36,7474,－,859,158,4,7,690,－
"114年 4月底","合計",93126,28945,2764,1829,59587,1,61334,7976,970,1721,50666,1,30660,20871,1787,54,7948,－,1132,98,7,54,973,－
"114年 4月底","男",54279,7490,835,1575,44378,1,53295,7316,797,1510,43671,1,539,114,33,16,376,－,445,60,5,49,331,－
"114年 4月底","女",38847,21455,1929,254,15209,－,8039,660,173,211,6995,－,30121,20757,1754,38,7572,－,687,38,2,5,642,－
"114年 5月底","合計",93491,29049,2752,1851,59838,1,61672,8037,967,1744,50923,1,30638,20910,1778,54,7896,－,1181,102,7,53,1019,－
"114年 5月底","男",54531,7541,833,1598,44558,1,53558,7371,797,1534,43855,1,533,113,31,16,373,－,440,57,5,48,330,－
"114年 5月底","女",38960,21508,1919,253,15280,－,8114,666,170,210,7068,－,30105,20797,1747,38,7523,－,741,45,2,5,689,－
"114年 6月底","合計",93918,29142,2745,1862,60168,1,62057,8111,964,1754,51227,1,30632,20923,1773,54,7882,－,1229,108,8,54,1059,－
"114年 6月底","男",54913,7612,833,1608,44859,1,53928,7441,796,1543,44147,1,536,113,31,16,376,－,449,58,6,49,336,－
"114年 6月底","女",39005,21530,1912,254,15309,－,8129,670,168,211,7080,－,30096,20810,1742,38,7506,－,780,50,2,5,723,－
"114年 7月底","合計",94213,29256,2742,1889,60325,1,62327,8217,961,1783,51365,1,30621,20926,1773,54,7868,－,1265,113,8,52,1092,－
"114年 7月底","男",55100,7712,827,1628,44932,1,54123,7540,791,1565,44226,1,535,113,30,16,376,－,442,59,6,47,330,－
"114年 7月底","女",39113,21544,1915,261,15393,－,8204,677,170,218,7139,－,30086,20813,1743,38,7492,－,823,54,2,5,762,－
"114年 8月底","合計",94301,29311,2737,1892,60360,1,62479,8327,959,1783,51409,1,30504,20872,1770,55,7807,－,1318,112,8,54,1144,－
"114年 8月底","男",55223,7813,823,1627,44959,1,54248,7643,788,1562,44254,1,532,112,29,16,375,－,443,58,6,49,330,－
"114年 8月底","女",39078,21498,1914,265,15401,－,8231,684,171,221,7155,－,29972,20760,1741,39,7432,－,875,54,2,5,814,－
"114年 9月底","合計",94647,29456,2729,1901,60560,1,62821,8434,961,1795,51630,1,30446,20901,1759,53,7733,－,1380,121,9,53,1197,－
"114年 9月底","男",55523,7918,823,1637,45144,1,54550,7749,788,1574,44438,1,527,111,29,15,372,－,446,58,6,48,334,－
"114年 9月底","女",39124,21538,1906,264,15416,－,8271,685,173,221,7192,－,29919,20790,1730,38,7361,－,934,63,3,5,863,－
"114年 10月底","合計",94749,29538,2708,1912,60590,1,63057,8579,949,1811,51717,1,30285,20837,1751,52,7645,－,1407,122,8,49,1228,－
"114年 10月底","男",55755,8064,813,1653,45224,1,54781,7895,778,1595,44512,1,528,109,30,14,375,－,446,60,5,44,337,－
"114年 10月底","女",38994,21474,1895,259,15366,－,8276,684,171,216,7205,－,29757,20728,1721,38,7270,－,961,62,3,5,891,－
"114年 11月底","合計",94919,29651,2702,1930,60635,1,63282,8710,946,1832,51793,1,30182,20819,1747,52,7564,－,1455,122,9,46,1278,－
"114年 11月底","男",55946,8187,811,1670,45277,1,54970,8021,776,1614,44558,1,526,107,30,14,375,－,450,59,5,42,344,－
"114年 11月底","女",38973,21464,1891,260,15358,－,8312,689,170,218,7235,－,29656,20712,1717,38,7189,－,1005,63,4,4,934,－
"114年 12月底","合計",94542,29700,2688,1936,60217,1,63079,8816,946,1840,51476,1,30837,20809,1735,51,8242,－,626,75,7,45,499,－
"114年 12月底","男",55750,8289,814,1676,44970,1,54811,8127,780,1621,44282,1,533,106,29,14,384,－,406,56,5,41,304,－
"114年 12月底","女",38792,21411,1874,260,15247,－,8268,689,166,219,7194,－,30304,20703,1706,37,7858,－,220,19,2,4,195,－
"115年 1月底","合計",94131,29738,2678,1944,59770,1,62728,8890,938,1848,51051,1,30788,20771,1733,51,8233,－,615,77,7,45,486,－
"115年 1月底","男",55428,8367,803,1684,44573,1,54500,8205,770,1629,43895,1,526,104,28,14,380,－,402,58,5,41,298,－
"115年 1月底","女",38703,21371,1875,260,15197,－,8228,685,168,219,7156,－,30262,20667,1705,37,7853,－,213,19,2,4,188,－
"115年 2月底","合計",93305,29572,2665,1929,59138,1,62099,8858,936,1832,50472,1,30602,20637,1722,51,8192,－,604,77,7,46,474,－
"115年 2月底","男",54854,8338,799,1672,44044,1,53937,8176,766,1616,43378,1,526,104,28,14,380,－,391,58,5,42,286,－
"115年 2月底","女",38451,21234,1866,257,15094,－,8162,682,170,216,7094,－,30076,20533,1694,37,7812,－,213,19,2,4,188,－
"115年 3月底","合計",94271,29814,2653,1944,59859,1,62953,8997,934,1848,51173,1,30714,20742,1712,49,8211,－,604,75,7,47,475,－
"115年 3月底","男",55658,8478,799,1687,44693,1,54731,8316,765,1631,44018,1,534,104,29,13,388,－,393,58,5,43,287,－
"115年 3月底","女",38613,21336,1854,257,15166,－,8222,681,169,217,7155,－,30180,20638,1683,36,7823,－,211,17,2,4,188,－

