"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"96年 7月底","女",19171,6513,2868,324,9462,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 8月底","合計",24605,7447,3131,2003,12018,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 8月底","男",5642,976,307,1690,2666,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 8月底","女",18963,6471,2824,313,9352,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 9月底","合計",24056,7296,3077,1931,11746,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 9月底","男",5439,929,299,1630,2578,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 9月底","女",18617,6367,2778,301,9168,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 10月底","合計",23610,7257,2998,1832,11518,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 10月底","男",5217,861,284,1543,2526,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 10月底","女",18393,6396,2714,289,8992,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 11月底","合計",22974,7140,2914,1737,11178,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 11月底","男",4982,811,265,1461,2442,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 11月底","女",17992,6329,2649,276,8736,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 12月底","合計",22372,7132,2845,1637,10753,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 12月底","男",4748,782,244,1378,2341,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 12月底","女",17624,6350,2601,259,8412,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年底","合計",25821,9887,2872,1550,11509,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年底","男",5983,913,232,1269,3568,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年底","女",19838,8974,2640,281,7941,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 1月底","合計",22124,7236,2810,1555,10518,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 1月底","男",4577,750,232,1300,2292,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 1月底","女",17547,6486,2578,255,8226,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 2月底","合計",22460,7486,2810,1571,10588,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 2月底","男",4668,750,227,1301,2387,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 2月底","女",17792,6736,2583,270,8201,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 3月底","合計",22635,7704,2787,1562,10576,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 3月底","男",4760,761,225,1295,2476,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 3月底","女",17875,6943,2562,267,8100,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 4月底","合計",22854,7938,2780,1551,10579,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 4月底","男",4873,779,226,1284,2581,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 4月底","女",17981,7159,2554,267,7998,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 5月底","合計",23163,8174,2773,1551,10659,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 5月底","男",4971,781,223,1284,2680,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 5月底","女",18192,7393,2550,267,7979,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 6月底","合計",23502,8427,2775,1566,10728,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 6月底","男",5099,802,220,1295,2779,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 6月底","女",18403,7625,2555,271,7949,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 7月底","合計",23792,8658,2783,1578,10767,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 7月底","男",5234,826,219,1306,2880,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 7月底","女",18558,7832,2564,272,7887,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 8月底","合計",24086,8859,2812,1566,10843,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 8月底","男",5369,851,225,1298,2992,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 8月底","女",18717,8008,2587,268,7851,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 9月底","合計",24437,9031,2827,1568,11006,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 9月底","男",5521,843,227,1297,3152,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 9月底","女",18916,8188,2600,271,7854,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 10月底","合計",24872,9365,2834,1558,11110,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 10月底","男",5636,873,227,1279,3255,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 10月底","女",19236,8492,2607,279,7855,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 11月底","合計",25438,9697,2844,1572,11320,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 11月底","男",5830,904,226,1289,3409,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 11月底","女",19608,8793,2618,283,7911,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 12月底","合計",25821,9887,2872,1550,11509,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 12月底","男",5983,913,232,1269,3568,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"97年 12月底","女",19838,8974,2640,281,7941,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年底","合計",28570,11478,2873,1265,12953,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年底","男",6749,936,205,1023,4584,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年底","女",21821,10542,2668,242,8369,－,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 1月底","合計",26168,10131,2893,1524,11617,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 1月底","男",6056,921,232,1245,3657,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 1月底","女",20112,9210,2661,279,7960,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 2月底","合計",26788,10381,2910,1520,11974,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 2月底","男",6313,952,234,1237,3889,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 2月底","女",20475,9429,2676,283,8085,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 3月底","合計",27086,10551,2911,1495,12126,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 3月底","男",6411,942,230,1217,4021,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 3月底","女",20675,9609,2681,278,8105,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 4月底","合計",27196,10594,2893,1463,12243,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 4月底","男",6455,916,227,1195,4116,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 4月底","女",20741,9678,2666,268,8127,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 5月底","合計",27619,10811,2906,1451,12448,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 5月底","男",6601,935,225,1187,4253,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 5月底","女",21018,9876,2681,264,8195,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 6月底","合計",28070,11080,2909,1451,12627,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 6月底","男",6705,965,221,1189,4329,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 6月底","女",21365,10115,2688,262,8298,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 7月底","合計",28406,11219,2899,1429,12856,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 7月底","男",6826,969,221,1168,4467,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 7月底","女",21580,10250,2678,261,8389,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 8月底","合計",28745,11363,2923,1403,13054,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 8月底","男",6936,985,222,1140,4588,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 8月底","女",21809,10378,2701,263,8466,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 9月底","合計",28949,11529,2917,1391,13110,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 9月底","男",7002,1001,218,1133,4649,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"98年 9月底","女",21947,10528,2699,258,8461,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
