no,w,county,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a_2,q9a_3,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a1_1,q12a2_1,q12a1_2,q12a2_2,q12b_2,q12b_3,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q13a,q14,q14a_1_1,q14a_2_1,q14b_1_1,q14b_2_1,q14a_1_2,q14a_2_2,q14b_1_2,q14b_2_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17b,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25a,q25b,q25ba,q25baa,q25bb
FBI0719,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,1,0,0,0,0,1,2,3,2,1,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,0,0,1,0,2,1,1,5,0,5,2, , , , ,7,10,3,0,1,1,1,1,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,3,2,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI0764,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,1,2,2,1,1,2,1, , ,3,17567,17000,567,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,2.82,0,2.82,2, , , , ,7,7,3,0,1,1,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,1,3,1,1,0,0,0,1,0,0,3,2,2, ,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI0765,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,19835,17000,2835,0,3, , , , , ,1,1,0,1,0,2,1,1,3,0,3,2, , , , ,8,9,3,0,1,1,3, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,1,1,0,0,0,0,0,3,1,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1, , , , , 
FBI0774,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,4,1,0,0,0,0,1,2,3,2,1,2,1, , ,3,19835,17000,2268,567,3, , , , , ,1,1,0,1,0,2,1,1,10,0,10,2, , , , ,7,10,3,0,1,2,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,0,0,0,0,0,3,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI0787,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,1,0,1,0,1,2,2,1,1,2,1, , ,2,19835,17000,2835,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,8,9,2,0,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,1,1,1,0,1,0,1,0,0,0,3,1,2, ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
FBI0927,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,2,1,2,1, , ,1,20268,17000,2268,1000,2, , ,2,12,1, ,0,0,0,0,2,1,1,4,0,4,1,8,6,2,0, , , , ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,1,1,0,0,1,1,1,0,0,0,3,2,1,1,1,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,1, , , , , 
FBI0936,64.12043243,2,9,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,1,1,0,0,1,2,4,2,1,2,1, , ,1,20268,17000,2268,1000,3, , , , , ,1,1,1,1,0,2,1,2, , , ,2, , , , ,7,9,3.5,0,1,2,1,1,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,3,2,1,3,0,1,1,0,0,0,1,0,3,2,1,1,1,0,0,2,0,1,1,1,0,0,1,1,0,0,0,1,0,1, , , , , 
FBI1004,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,2,1,1,1,1, , ,1,27335,19500,2835,5000,2, , ,1,12,1, ,0,0,0,0,2,1,1,6,0,6,1,6,10,4,0, , , , ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,1,1,3,1,1,1,1,2,1,0,1,0,1,0,0,0,3,4,2, ,0,0,1,2,0,1,1,1,0,0,1,0,1,1,0,0,0,1, , , , , 
FBI4777,64.12043243,2,9,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,0,0,1,2,4,2,1,2,2,1, ,1,20435,18000,2400,35,3, , , , , ,1,0,0,1,0,2,1,1,12,0,12,2, , , , ,9,9,2,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,3,2,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI4801,64.12043243,2,9,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,2,1,1,1,0,1,2,4,1,1,1,1, , ,1,25000,25000,0,0,1,4,12, , , , ,0,0,0,0,1, ,1,6,0,6,2, , , , ,8,9,5,0,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,1,0,1,1,0,0,0,3,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
FBI4806,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,1,2,3,1,1,2,1, , ,3,18700,17000,1700,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,3.07,0,3.07,2, , , , ,9,9,3,0,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,3,1,0,0,0,0,1,1,0,3,2,1,1,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1, , , , , 
FBI4911,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,2,2,1,0,0,0,1,2,3,2,1,2,1, , ,1,22268,20000,2268,0,3, , , , , ,1,1,0,1,0,2,1,1,2,0,2,1,8,9,4,30, , , , ,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,1,1,1,0,0,0,0,0,3,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
FBI5001,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,1,0,0,1,2,3,2,1,1,1, , ,1,25000,17000,3000,5000,3, , , , , ,1,1,1,1,0,2,1,1,2,0,2,1,6,10,3,0, , , , ,2, ,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,1,0,0,1,1,0,0,0,0,3,4,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FBI5003,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,1,1,1,1, , ,1,18000,17000,1000,0,2, , ,1,8,1, ,0,0,0,0,1, ,1,1,0,1,2, , , , ,6,9,3,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,1,0,1,0,0,0,3,1,2, ,0,0,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1, , , , , 
FBI5023,64.12043243,2,9,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,5,1,0,0,0,0,1,2,4,1,1,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,1,0,0,1, ,1,2.5,0,2.5,1,6,9,6,0, , , , ,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,1,2,1,2,1,2,2,1,3,0,0,1,1,1,0,0,0,3,2,2, ,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1, , , , , 
FBI5046,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,1,0,0,0,0,1,2,2,1,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,0,0,1, ,1,1,0,1,2, , , , ,7,9,3,30,1,2,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,1,0,0,0,1,1,0,3,2,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI5050,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,2,1,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,1,0,2,1,1,0,30,.5,2, , , , ,6,8,5,0,1,1,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,3,0,0,1,0,1,0,0,0,3,2,2, ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
FBI5114,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,1,0,2,1,1,3,0,3,2, , , , ,7,8,3,30,1,1,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,0,1,1,0,0,0,0,3,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,1, , , , , 
FBP1073,4.580615539,2,24,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,3,3,2,1,1, , ,2,21700,21200,0,500,1,5,8, , , , ,0,0,0,0,1, ,1,3.07,0,3.07,1,7,10,2,0, , , , ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,1,0,1,1,0,0,0,0,3,2,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FBP1084,70.10304514,2,24,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2,1,0,0,0,1,2,3,3,2,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,0,0,1,0,2,1,1,1,0,1,2, , , , ,7.5,9,5,0,1,2,1,3,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,2,2,3,3,1,1,0,0,0,0,1,1,1,0,3,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBP1094,70.10304514,2,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,0,1,0,0,1,2,3,2,2,1,2,1, ,2,20000,17000,1134,1866,2, , ,2,12,1, ,0,0,0,0,1, ,1,3.07,0,3.07,2, , , , ,7,8,3,30,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,0,1,0,0,1,0,0,3,2,2, ,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,2, , 
FBP1134,62.80013668,2,24,2,2,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,6,6,2,1,0,1,0,1,2,2,2,2,2,2,1, ,1,26332,20000,2667,3665,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,8,10,3,0,1,2,1,2,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,3,2,2,2,3,2,1,1,1,0,0,0,1,0,1,0,3,1,2, ,0,0,1,2,1,1,0,1,0,0,1,0,1,0,1,0,0,1, , , , , 
FBP1151,70.10304514,2,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,1,0,0,0,0,1,2,3,3,2,1,1, , ,1,20000,17647,2353,0,3, , , , , ,1,0,1,0,0,1, ,2, , , ,2, , , , ,6,6,2,0,1,2,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,1,0,0,1,1,1,0,0,0,3,4,2, ,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FBP5183,62.80013668,2,24,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,1,2,2,3,2,1,1, , ,1,19267,17000,2267,0,3, , , , , ,1,0,0,1,0,2,1,1,1,0,1,2, , , , ,7.5,6.5,2,30,1,2,1,1,1,1,0,1,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,3,1,1,1,0,0,0,0,0,3,1,1,1,0,0,1,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1, , , , , 
FBP5220,62.80013668,2,24,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,0,0,0,1,2,2,3,2,2,1, , ,1,19835,17000,2835,0,3, , , , , ,1,0,0,1,0,2,1,1,0,30,.5,2, , , , ,8,8,3,0,1,1,1,1,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,1,2,2,1,3,0,0,1,1,1,0,0,0,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1, , , , , 
FBP5249,62.80013668,2,24,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,2,1,1,0,0,1,2,2,2,2,1,1, , ,2,20000,17000,3000,0,3, , , , , ,1,0,1,1,0,2,1,1,2,0,2,2, , , , ,8,11,2,0,2, ,1,3,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,4,2,2,2,2,2,1,1,1,1,0,1,1,0,0,0,0,3,4,1,1,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
FBP5250,96.15595547,2,24,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,1,0,0,0,0,1,2,4,3,2,1,1, , ,1,19267,17000,2267,0,3, , , , , ,1,1,0,1,0,2,1,2, , , ,2, , , , ,7,9,1,30,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,3,0,0,1,1,1,0,0,0,3,1,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBP5253,96.15595547,2,24,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,1,0,0,1,2,4,3,2,1,1, , ,1,20000,17000,3000,0,3, , , , , ,1,1,0,0,0,1, ,1,2,0,2,2, , , , ,7,7,4,0,1,1,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,2,4,2,3,3,1,2,0,0,1,1,0,1,0,0,3,1,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FBP5263,70.10304514,2,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,3,2,2,1,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,1,1,0,2,1,2, , , ,2, , , , ,7,7,1,30,2, ,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,1,3,1,0,1,1,0,0,0,0,3,2,2, ,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2, , , , 
FBT5268,13.2,2,30,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,4,1,3,2,1, , ,1,18133,17000,1133,0,2, , ,2,8,1, ,0,0,0,0,2,1,1,.53,30,1.03,2, , , , ,7,9,3.5,0,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,0,0,0,1,0,0,3,2,1,2,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBV1172,64.54825036,2,33,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,1,2,2,2,4,1,1, , ,2,22000,18372,1132,2496,2, , ,2,12,1, ,0,0,0,0,2,1,1,3,0,3,2, , , , ,7,10,6.5,0,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,0,1,1,0,0,1,0,0,3,4,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1, , , , , 
FBV1193,5.473275947,2,33,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,4,2,1, , ,1,20000,20000,0,0,1,4,10, , , , ,0,0,0,0,1, ,1,2,0,2,2, , , , ,8,8,3,0,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,0,0,0,0,0,1,0,0,3,2,2, ,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
FCI1265,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,1,0,0,0,0,1,2,3,1,1,1,1, , ,2,19268,17000,2268,0,3, , , , , ,1,1,0,1,0,2,1,1,1,30,1.5,1,8,6,2,0, , , , ,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,1,1,0,0,0,0,3,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2, , , , 
FCI1310,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,21500,19545,1955,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,2,0,2,2, , , , ,8,8,2,0,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,1,3,2,3,1,2,2,1,3,0,1,0,1,0,1,0,0,3,2,2, ,0,0,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
FCI1410,65.23112238,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,2,2,1,1,1,1, , ,1,19268,17000,2268,0,2, , ,1,10,1, ,0,0,0,0,2,1,1,3.13,0,3.13,2, , , , ,7,8,3.5,0,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,0,0,0,1,0,0,3,4,1,2,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1, , , , , 
FCI1484,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,3,2,1,0,0,0,1,2,3,1,1,1,1, , ,1,22000,17000,2268,2732,3, , , , , ,1,0,0,1,0,2,1,1,6,0,6,2, , , , ,8.5,10,3,30,1,2,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,3,0,0,1,1,1,0,0,0,3,2,2, ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FCI1485,66.18665772,4,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,1,0,0,0,0,1,2,1,2,1,2,4, , ,1,22000,19412,2588,0,3, , , , , ,1,0,0,1,0,2,1,1,5,0,5,1,8,8,2,0, , , , ,1,1,3, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,3,2,1,2,1,1,0,0,1,0,1,0,1,0,3,1,1,2,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
FCI5377,65.23112238,4,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,2,2,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,8,5,0,1,1,1,1,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,3,1,0,1,0,0,1,0,0,3,2,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FCI5413,66.18665772,4,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,2,1,1,0,0,1,2,1,2,1,2,1, , ,1,19267,17000,2267,0,3, , , , , ,1,1,0,1,0,2,1,2, , , ,1,7.5,6,1,30, , , , ,1,3,1,1,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,0,0,3,3,2, ,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,1, , , , , 
FCI5479,66.18665772,4,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,1,2,1,1,1, , ,1,23268,19000,2268,2000,2, , ,1,8,1, ,0,0,0,0,2,1,1,8,0,8,1,9,8,3,0, , , , ,2, ,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,3,2,1,3,0,0,1,1,1,0,0,0,3,1,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1, , , , , 
FCI5495,65.23112238,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,6,1,0,0,0,0,1,2,2,2,1,1,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,1,6,7,1,30, , , , ,2, ,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,1,1,1,1,0,0,1,1,1,0,0,0,3,4,2, ,1,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FCI5580,66.18665772,4,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,2,1,2,1,1,1, , ,1,18700,17000,1700,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,3,50,3.83,2, , , , ,9,5,2,0,1,1,2, ,1,1,0,1,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,0,0,0,1,0,0,3,3,2, ,1,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FCI5612,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,0,1,1,0,1,2,3,1,1,1,1, , ,1,20000,17000,3000,0,2, , ,3,8,1, ,0,0,0,0,2,1,1,3.61,0,3.61,2, , , , ,7,8,4,0,1,1,2, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,1,0,0,1,0,0,1,0,3,1,2, ,1,0,0,2,1,1,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
FCP1546,54.27284355,4,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,1,1,0,0,1,2,3,2,2,1,1, , ,1,18133,17000,1133,0,2, , ,2,8,1, ,0,0,0,0,2,1,1,2,0,2,1,8,8,3,0, , , , ,1,1,1,2,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,0,0,1,0,1,1,0,0,3,2,2, ,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2, , , , 
FCP5665,54.27284355,4,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,2,2,1,1, , ,1,17000,17000,0,0,1,4,12, , , , ,0,0,0,0,1, ,1,3,0,3,2, , , , ,8,6,2,0,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,3,2,1,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FCV1576,81.34937325,4,33,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,2,1,1,0,0,1,2,2,2,4,1,2,1, ,1,20001,17813,1188,1000,2, , ,2,12,1, ,0,0,0,0,1, ,1,3,0,3,2, , , , ,7,9,3,0,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,3,3,4,2,2,3,1,1,0,1,0,1,0,1,0,0,3,2,2, ,0,0,1,2,1,0,0,1,1,0,1,0,1,0,1,0,0,2,2, , , , 
