no,w,nation,ind,industry,q1,q2,q3,q4,q5_1,q5_2,q5_3,q6,q6_o,q6_1,q7_1$,q7_2,q7_21$,q7_3,q7_3_1,q7_31$,q7_3_1b,q7_3_1bo,q8,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_1o,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_o,q10,q10_11,q10_12,q10_13,q10_14,q10_1o,t1,t2,t3,t4,q11,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q11_1o,q12,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_1o,q13_1,q13_2,q13_3,q14_1,q14_2,q14_3,q14_4,q15,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_1o,q16,q16_1,q16_2,q16_3,q16_4,q16_5,q16_1o,q17,q17_1,q17_nt,q18,q19,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_1o,q20,q20_1,q20_2,q20_3,q21,q21_1,q21_2,q21_3,q23,q22_1,q22_2,q22_1_a,q22_2_a,q22_2_b,q22_2_c,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q24_8,q24_1o,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8,q25_9,q25_10,q25_11,q25_12,q25_13,q25_14,q25o
2117,2,3,2,26,1,2,3,1,1,3,0,1, ,2,56798,2,52741,1,2,48684,1, ,2,0,0,0,4,0,0, ,1,0,0,4,0,0, ,1, , , , , , , , , ,2,1,2,0,0,0,0,7,0, ,2, , , , , , , , , , , , , ,25,8,34,23784,19047,3740,997,2,1,0,3,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,5,6,0,0,0,0,0,0,13,0, 
2118,2,3,2,26,1,2,3,1,1,3,0,1, ,2,27898.64307,1, ,2, , , , ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,26,8,34,24383,19047,4318,1018,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2500,1,1,1,0,0,4,5,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,0,6,0,0,9,0,0,0,0,0, 
2119,2,3,2,26,1,2,4,1,1,3,0,1, ,2,9999998,1, ,1,1, ,3, ,2,0,0,0,4,5,0, ,0,2,0,0,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,24428,19047,4318,1063,2,0,2,0,0,0,0, ,1, , , , , , ,1,2,2500,1,1,0,2,3,0,0,0,0,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,13,0, 
2120,2,3,2,26,1,2,2,1,1,3,0,1, ,2,40570,1, ,1,2,40570,1, ,2,0,0,0,4,0,6,扣宿食費,1,0,0,4,0,0, ,2,0,2,3,0, , ,9.76,7.89, ,2,0,0,0,0,0,6,0,0, ,2, , , , , , , , , , , , , ,25,9,34,39774,36000,3774,0,2,1,0,0,0,0,0, ,2,1,0,3,4,0, ,1,2,4000,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,8,9,0,0,12,0,0, 
2121,2,3,2,26,1,2,1,1,1,3,0,1, ,2,52741,1, ,1,2,36513,3, ,2,1,2,0,4,5,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,2,0,0,0,0,0,6,0,0, ,1,0,0,0,0,0,0,0,0,9,10,0,0, ,26,8,34,22565,19047,3518,0,2,1,2,3,0,0,0, ,1, , , , , , ,1,2,2500,3,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
2122,2,3,2,26,1,2,3,1,1,3,0,1, ,2,54364,1, ,1,2,40570,2, ,2,1,0,0,4,0,0, ,0,0,3,0,0,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,30,8,34,28836,19047,8756,1033,2,1,2,0,0,0,0, ,2,0,0,3,4,0, ,1,2,2500,1,2, , , , , , , , , ,1,1,2,3,1,0,0,3,2, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,7,0,9,0,0,0,0,0, 
2123,2,3,2,26,1,2,3,1,2,3,6,1, ,2,89254,1, ,1,2,64912,1, ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,23229,19047,4182,0,1, , , , , , , ,2,1,0,3,0,0, ,1,2,2500,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,7,8,9,0,11,0,0,0, 
2124,2,3,2,26,1,2,4,1,4,11,6,1, ,2,105482,1, ,1,2,43213.43571,1, ,1,0,0,0,0,0,0, ,1,0,0,0,0,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,31,8,34,24175,19047,4148,980,1, , , , , , , ,2,1,0,0,0,0, ,1,1, ,1,2, , , , , , , , , ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,5,0,0,8,0,0,0,0,0,0, 
2125,2,3,2,26,1,2,3,1,4,12,0,1, ,2,44627,2,40570,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,10,20107,19047,1060,0,1, , , , , , , ,1, , , , , , ,1,2,2500,3,1,0,0,0,0,5,6,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,5,6,7,0,9,0,0,0,0,0, 
2126,2,3,2,26,1,2,2,1,2,4,9,1, ,2,56798,1, ,1,1, ,2, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,9,0,0,0, ,24,8,34,24352,19047,4250,1055,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2127,2,3,2,26,1,2,4,1,2,6,0,1, ,2,52579,1, ,1,2,52579,2, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,26,8,9.5,21288,19047,1216,1025,2,1,0,0,0,5,0, ,1, , , , , , ,1,2,2500,1,1,1,0,0,4,5,6,7,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,1,2,3,0,0,6,0,0,9,10,0,12,13,0, 
2128,2,3,2,26,1,2,4,1,1,3,0,1, ,2,43213.43571,2,27898.64307,1,2,43213.43571,3, ,2,1,0,0,4,5,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,25,8,34,24418,19047,4352,1019,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2500,1,2, , , , , , , , , ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,0,0,0,0,0,0,0, 
2129,2,3,2,26,1,2,4,1,1,2,7,1, ,2,9999998,1, ,1,1, ,1, ,2,1,0,0,4,0,0, ,1,0,3,0,5,0, ,2,1,2,3,0, ,60.47,9.76,7.89, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,9,0,0,0, ,25,8,34,24158,19047,4080,1031,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,0,4,5,0,0,0, ,1,1,2,3,1,0,0,3,2, , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,7,8,9,10,11,12,0,0, 
2130,2,3,2,26,1,2,3,1,1,3,0,1, ,2,9999998,1, ,2, , , , ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,2,0,2,0,0, , ,9.76, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,26,8,34,23093,19047,4046,0,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2500,1,1,1,0,0,4,5,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,0,6,0,0,9,0,0,12,0,0, 
2131,2,3,2,26,1,2,4,1,1,3,0,1, ,2,64912,2,27898.64307,2, , , , ,2,0,0,0,4,0,0, ,1,0,3,4,5,0, ,2,0,0,3,0, , , ,7.89, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,24059,19047,3944,1068,2,0,2,0,0,0,0, ,2,0,0,3,4,0, ,1,1, ,1,1,0,0,3,0,0,0,0,0, ,1,0,0,3,1,0,2,0,1, , , , , , ,1, , , , , , , , , ,0,0,0,4,5,0,0,0,0,0,0,0,0,0, 
2132,2,3,2,26,1,2,4,1,1,3,0,1, ,2,52741,1, ,1,2,37730,2, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,2,0,0,0,6,7,0,0,0,0,0, ,25,8,32,22407,19047,3360,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2133,2,3,2,26,1,2,2,1,3,8,3,1, ,2,97368,1, ,1,2,43213.43571,1, ,2,0,2,0,0,0,0, ,1,0,0,4,5,0, ,2,0,2,0,0, , ,9.76, , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,10,0,12,"薪資少,借貸高",25,8,34,24324,19047,4250,1027,2,1,2,3,0,0,0, ,2,1,0,3,0,0, ,1,2,2500,3,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,7,0,9,0,0,0,13,0, 
2134,2,3,2,26,1,2,3,1,3,6,6,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,18,20955,19047,1908,0,1, , , , , , , ,1, , , , , , ,1,2,2500,3,1,0,0,0,0,5,6,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,5,6,7,0,9,0,0,0,0,0, 
2135,2,3,2,26,1,2,4,1,3,5,0,1, ,2,52741,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,2,0,0,0,0,7,8,0,0,0,0, ,24,8,38,23037,19047,3990,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2136,2,3,2,26,1,2,2,1,1,2,7,1, ,2,56798,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,24,8,34,24456,19047,4352,1057,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2137,2,3,2,26,1,2,3,1,2,5,9,1, ,2,45438,2,27898.64307,1,2,45438,2, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,26,21153,19047,2106,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,0,0,4,5,6,7,0, ,1,1,0,3,1,1,0,3,1,1,1,1,3,2,2,1, , , , , , , , , ,1,2,3,0,0,6,0,0,0,0,0,12,0,0, 
2138,2,3,2,26,1,2,4,1,1,3,0,1, ,2,45438,1, ,1,2,45438,2, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,26,8,1.5,19224,19047,177,0,2,1,0,0,0,5,0, ,1, , , , , , ,1,2,2500,1,1,1,0,0,4,5,6,7,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,1,2,3,0,0,6,0,0,9,10,0,12,0,0, 
2139,2,3,2,26,1,2,4,1,2,3,0,1, ,2,36513,1, ,2, , , , ,1,0,0,0,0,0,0, ,0,0,3,4,5,0, ,2,0,2,0,0, , ,9.76, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,50,29952,23000,5900,1052,2,0,0,0,4,0,0, ,2,0,0,0,4,0, ,1,2,2500,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,0,0,0,0,0,0,0,0,0,0, 
2140,2,3,2,26,1,2,2,1,1,3,0,1, ,2,60855,1, ,1,2,52741,3, ,2,0,0,3,4,5,0, ,1,0,0,4,0,0, ,1, , , , , , , , , ,2,0,0,0,0,0,6,0,0, ,2, , , , , , , , , , , , , ,22,8,34,33656,26000,7656,0,2,1,0,0,0,0,0, ,2,1,0,3,4,0, ,1,2,2500,3,1,0,0,3,0,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
2141,2,3,2,26,1,2,3,1,1,3,0,1, ,2,44627,2,27898.64307,1,2,24342,2, ,2,0,0,0,4,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,23956,19047,3842,1067,1, , , , , , , ,2,0,0,3,0,0, ,1,1, ,3,1,0,0,3,0,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,12,0,0, 
2142,2,3,2,26,1,2,4,1,1,2,6,1, ,2,52741,2,16228,1,2,24342,1, ,2,0,0,0,0,0,6,扣宿食費,0,0,3,0,0,0, ,2,0,2,0,0, , ,9.76, , ,2,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,7,8,0,0,0,0, ,30,8,0,20024,19000,0,1024,2,1,0,0,0,0,0, ,2,0,0,0,4,0, ,1,2,2500,3,2, , , , , , , , , ,1,1,0,0,1,1,0,0,3,1,1,2,3,2,2,1, , , , , , , , , ,0,2,0,0,0,0,0,0,9,0,0,0,0,0, 
2143,3,3,2,26,1,2,4,1,1,3,0,1, ,2,52741,1, ,1,2,29210,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,2,0,0,0,6,7,0,0,0,0,0, ,24,8,36,22827,19047,3780,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2144,2,3,2,26,1,2,4,1,2,6,0,1, ,2,37324,1, ,2, , , , ,1,0,0,0,0,0,0, ,0,0,3,4,5,0, ,2,0,2,0,0, , ,9.76, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,50,30915,24000,5900,1015,1, , , , , , , ,2,0,0,3,4,0, ,1,2,2500,1,2, , , , , , , , , ,1,0,2,0,1,0,2,0,3, , , , , , ,2,0,0,0,4,0,0,0,0, ,0,0,0,4,0,0,0,0,0,0,0,0,0,0, 
2145,2,3,2,26,1,2,4,1,3,7,0,1, ,2,56798,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,24,8,34,23846,19047,3808,991,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2146,2,3,2,26,1,2,4,1,1,3,6,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,2,0,0, ,60.47,9.76, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,46,24907,19047,4860,1000,2,0,2,0,0,0,0, ,1, , , , , , ,1,2,2500,1,1,0,0,0,4,0,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,13,0, 
2147,2,3,2,26,1,2,2,1,1,3,0,1, ,2,56798,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,24,8,34,24555,19047,4488,1020,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,0,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2148,2,3,2,26,1,2,4,2,1,3,0,1, ,2,56798,1, ,1,1, ,3, ,2,0,0,0,0,5,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,24,8,34,23229,19047,4182,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2149,2,3,2,26,1,2,2,1,1,2,11,1, ,2,9999998,1, ,1,1, ,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,2,1,2,3,0, ,60.47,9.76,7.89, ,2,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,7,0,9,0,0,0, ,25,8,34,24081,19047,4012,1022,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,2,0,0,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,7,8,9,10,11,12,0,0, 
2150,2,3,2,26,1,2,4,1,3,3,0,1, ,2,97368,2,52741,1,2,44627,3, ,2,0,0,3,4,5,0, ,1,0,0,4,0,0, ,2,0,2,3,0, , ,9.76,7.89, ,2,0,0,0,0,5,0,7,0, ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,29,8,34,24973,19047,3704,2222,2,1,2,3,0,0,0, ,2,1,0,3,0,0, ,1,2,3000,1,1,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,12,13,0, 
2151,2,3,2,26,1,2,4,1,1,3,0,1, ,2,60855,1, ,1,2,24342,3, ,2,0,0,0,4,5,0, ,0,0,3,4,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,23862,19047,3774,1041,2,1,0,0,0,0,0, ,2,1,0,3,4,0, ,1,2,2500,1,1,1,0,0,0,0,0,0,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,6,0,0,0,0,0,0,13,0, 
2152,2,3,2,26,1,2,4,1,2,4,1,1, ,2,56798,2,36513,1,2,56798,3, ,2,1,0,0,0,5,0, ,0,0,3,0,0,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,25,8,34,23977,19047,3910,1020,1, , , , , , , ,1, , , , , , ,1,1, ,1,1,0,0,3,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,6,0,0,9,0,0,12,0,0, 
2153,2,3,2,26,1,2,4,1,2,3,0,1, ,2,56798,1, ,1,2,56798,1, ,2,0,0,0,4,0,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,22978,19000,3978,0,2,1,0,0,4,0,0, ,2,0,0,3,4,0, ,1,1, ,3,2, , , , , , , , , ,1,1,0,3,2, , , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,0,0,0,0,0,6,0,0,0,0,0,0,0,0, 
2154,2,3,2,26,1,2,4,1,1,2,5,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,15,20637,19047,1590,0,1, , , , , , , ,1, , , , , , ,1,2,2500,3,1,0,0,0,0,5,6,0,0, ,1,1,0,3,1,1,0,3,1,0,1, ,3,2,1,1, , , , , , , , , ,0,0,0,0,5,6,7,0,9,0,0,0,0,0, 
2155,2,3,2,26,1,2,4,2,1,3,0,1, ,2,52741,1, ,1,2,43213.43571,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,2,0,0,0,6,7,0,0,0,0,0, ,24,8,34,22617,19047,3570,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2156,2,3,2,26,1,2,4,1,1,3,0,1, ,2,27898.64307,1, ,2, , , , ,2,0,0,0,4,0,0, ,0,0,0,4,0,0, ,2,0,2,0,0, , ,9.76, , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,25,8,34,24294,19047,4250,997,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,3,1,0,2,0,0,0,0,7,0, ,1,1,2,3,1,0,2,0,2, , , , , , ,1, , , , , , , , , ,0,0,0,0,5,0,7,0,0,0,0,0,0,0, 
2157,2,3,2,26,1,2,4,1,1,3,0,1, ,2,52741,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,2,0,0,0,6,7,0,0,0,0,0, ,24,8,38,23037,19047,3990,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,4,5,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
2158,2,3,2,26,1,2,4,1,2,6,0,1, ,2,51605,2,27898.64307,1,2,51605,2, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,0,19047,19047,0,0,2,1,0,0,0,5,0, ,1, , , , , , ,1,2,2500,1,1,1,0,0,4,5,6,7,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,1,2,3,0,0,0,0,0,9,10,0,12,0,0, 
2159,2,3,2,26,1,2,4,1,1,3,0,1, ,2,27898.64307,1, ,2, , , , ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,26,8,34,24241,19047,4216,978,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2500,1,1,1,0,0,4,5,0,0,0, ,1,0,2,3,1,0,2,3,1, , , , , , ,1, , , , , , , , , ,0,0,3,4,0,6,0,0,9,0,0,12,0,0, 
2160,2,3,2,26,1,2,4,1,1,3,0,1, ,2,64912,1, ,1,2,64912,1, ,2,0,0,0,4,0,0, ,1,0,0,0,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,2,0,0,0,0,0,6,0,0, ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,25,8,34,24278,19047,4182,1049,1, , , , , , , ,2,0,0,3,4,0, ,1,2,2500,1,1,0,2,0,0,0,0,0,0, ,1,0,0,3,1,0,0,3,1, , , , , , ,2,0,2,0,0,0,0,0,0, ,0,0,3,0,0,0,7,0,0,0,0,0,0,0, 
2161,2,3,2,26,1,2,4,2,2,3,0,1, ,2,36513,1, ,2, , , , ,1,0,0,0,0,0,0, ,0,0,3,4,5,0, ,2,0,2,0,0, , ,9.76, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,50,25972,19047,5900,1025,1, , , , , , , ,2,0,0,3,4,0, ,1,2,2500,1,2, , , , , , , , , ,1,0,2,0,1,0,2,0,3, , , , , , ,2,0,0,0,4,0,0,0,0, ,0,0,0,4,0,0,0,0,0,0,0,0,0,0, 
2162,3,3,2,26,1,2,3,2,1,3,0,1, ,2,27898.64307,1, ,2, , , , ,2,0,0,0,4,0,0, ,1,2,0,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,25,8,34,33500,26000,5000,2500,2,1,0,0,0,0,0, ,2,1,0,3,4,0, ,1,2,2500,1,2, , , , , , , , , ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,0,0,0,0,11,0,0,0, 
2163,2,3,2,26,1,2,1,1,1,3,0,1, ,2,55987,1, ,1,2,32456,3, ,2,0,0,0,4,5,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,2,1,0,0,0,0,6,0,0, ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,26,8,32,23963,20125,2800,1038,2,1,0,0,0,0,0, ,2,1,0,3,4,0, ,1,2,2500,3,1,0,2,0,0,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,0,0,11,0,0,0, 
2164,2,3,2,26,1,2,4,1,2,2,6,1, ,2,40570,1, ,1,1, ,1, ,2,1,0,0,4,0,0, ,1,2,3,4,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,1,0,3,0,5,0,0,0,0,0,0,0, ,27,8,30,25047,19047,5000,1000,2,1,2,0,0,0,0, ,1, , , , , , ,1,2,2500,1,1,0,2,3,0,0,0,0,0, ,1,1,2,3,1,0,2,0,2, , , , , , ,1, , , , , , , , , ,1,2,3,0,0,6,0,8,0,10,0,0,0,0, 
2165,2,3,2,26,1,2,3,1,1,3,0,1, ,2,50307,1, ,2, , , , ,2,0,0,0,4,0,0, ,1,0,3,0,5,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,34,24500,19047,4420,1033,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,0,0,4,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,0,0,0,0,0,0, 
2166,2,3,2,26,1,2,4,1,1,3,0,1, ,2,97368,1, ,1,2,66941,3, ,2,0,0,0,4,5,0, ,1,0,0,0,0,0, ,2,0,2,3,0, , ,9.76,7.89, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,25,8,34,24051,19047,3978,1026,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4165,3,1,0,0,0,0,5,6,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,0,0,0,0,0,0, 
