no,w1,w2,w3,t1,t2,t3,s1,s1b_1,s1b_2,s1b_3,s1b_4,s1b_5,s1b_6,s1b_7,s1b_8,s1b_9,s2,s2a_1,s2a_2,s2a_3,s2a_4,s2a_5,s2a_6,s2a_7,s2a_8,s2a_9,s2a_10,s2a_11,s2a_12,s2a_13,s2b,s2bb_1,s2bb_2,s2bb_3,s2bb_4,s2bb_5,s2bb_6,s2bb_7,s2bb_8,s2bb_9,s2bb_10,s2bb_11,s3,s3a,s4,s4b_1,s4b_2,s4b_3,s4b_4,s4b_5,s4b_6,s4b_7,s4b_8,s4b_9,s4b_10,s4b_11,s4b_12,s5,s5a,s5b,s5c_1,s5c_2,s5c_3,s5c_4,s5c_5,s5c_6,s5c_7,s5c_8,s5d,s6,s6a_2_1,s6a_3_1,s6a_4_1,s6a_5_1,s6b,s6s6b,s7a_1_0,s7a_1_1,s7a_2_1,s7a_3_1,s7c,s7b_1_1,s7b_2_1,s7b_1_0,n8,n8a0,n8a,n8b0,n8b,n8c0,n8c,n9,n9a,n10,n11,n11a1,n11b1,n11a2,n11b2,n11a3,n11b3,n12_1,n12_2,n12_3,n12_4,n12_5,n12_6,n13,n14,n14b_1,n14b_2,n14b_3,n14b_4,n15,n15b_1,n15b_2,n15b_3,n15b_4,n15b_5,n15b_6,n15b_7,n16,n16a,n16b_1,n16b_2,n16b_3,n16b_4,n16b_5,n17a_1,n17a_2,n17b_1,n17b_2,n17c_1,n17c_2,n17d_1,n17d_2,n17e_1,n17e_2,n17f_1,n17f_2,n17g_1,n17g_2,n17h_1,n17h_2,n18a,n18b,n18c,n18d,n18e,n18f,n19,n19a,n20_1,n20_2,n20_3,n21,n21a_1,n21a_2,n21a_3,n21a_4,n21a_5,n21a_6,n21a_7,n21a_8,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8
A2522822,8.24307692307692,8.92409152086137,160.633647375505,1,25,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,1,1,0,0,0,0,1,0,0,2, , , , , , , , , , , ,18,0,18,0,0,41,59,27100,23800,3300,0,9,168,24,192,2,2,7,1, ,1, ,1, ,1,2, , ,1, , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,3,4,3,2,2, ,0,0,1,2,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0
A2522823,8.24307692307692,8.92409152086137,80.3168236877523,1,25,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,9,9,0,0,0,37,46,23800,23800,0,0,9,168,0,168,2,2,4,2,2,2,3,2,1,1,1,2,1500, , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,2,2,2,3,2,2,1,1,0,0,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
A2522833,8.24307692307692,8.92409152086137,276.646837146702,1,25,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1, , , , , , , , , ,31,31,0,0,0,58,89,29428,25000,4428,0,9,168,30,198,2,2,3,2,2,1, ,1, ,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,1,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
A2522837,8.24307692307692,8.92409152086137,98.1650067294751,1,25,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0, ,11,11,0,0,0,23,34,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,2,1,1,1,2,1000, , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2, ,0,0,1,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
A2522838,8.24307692307692,8.92409152086137,53.5445491251682,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,6,6,0,0,0,48,54,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,0,0,2,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
A2522839,8.24307692307692,8.92409152086137,116.013189771198,1,25,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,1,0,0,4,13,0,13,0,0,61,74,23800,23800,0,0,9,168,0,168,2,1, ,2,5,2,1,2,2,1,1,2,2500, , , , ,0,0,1,0,0,0,4,1,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,3,3,3,3,3,3,1,2,1,1,0,2,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0
A2522841,8.24307692307692,8.92409152086137,124.937281292059,1,25,2,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0, ,14,5,8,1,0,54,68,24400,23800,0,600,9,168,0,168,2,1, ,2,4,1, ,3,1,1,1,2,1000, , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,2,2,2, ,1,0,0,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0
A2522842,8.24307692307692,8.92409152086137,80.3168236877523,1,25,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,9,9,0,0,0,40,49,28356,23800,4556,0,9,168,31,199,2,2,2,2,3,1, ,2,1,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,2,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,2,2,3,3,2,2,2, ,1,0,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
A2522844,8.24307692307692,8.92409152086137,62.4686406460296,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,7,7,0,0,0,23,30,25276,23800,1476,0,9,168,10,178,2,1, ,2,2,1, ,1, ,1,3, , , , ,1, ,0,0,0,0,0,0, ,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A2522846,8.24307692307692,8.92409152086137,107.089098250336,1,25,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1, ,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1, , , , , , , , , ,12,12,0,0,0,64,76,28671,23800,4871,0,8,176,33,209,2,2,3,2,3,1, ,2,1,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A2522847,8.24307692307692,8.92409152086137,62.4686406460296,1,25,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,7,7,0,0,0,50,57,24100,23800,0,300,10,168,0,168,2,1, ,2,1,1, ,2,1,1,1,2,1000, , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,2,3,3,3,3,3,2, ,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A2522848,8.24307692307692,8.92409152086137,151.709555854643,1,25,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0, ,17,17,0,0,0,76,93,32200,25400,5000,1800,9,168,34,202,2,2,3,2,7,2,3,2,1,1,2, , ,2,1200, , ,0,1,0,0,0,0,2,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,2,3,3,5,2,2,1,2,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
A2522849,8.24307692307692,8.92409152086137,107.089098250336,1,25,2,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,12,12,0,0,0,18,30,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,2,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
A2522852,8.24307692307692,8.92409152086137,80.3168236877523,1,25,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,9,9,0,0,0,23,32,28671,23800,4871,0,9,168,33,201,2,1, ,2,2,1, ,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,2,3,1,1,1,2,1,0,0,2,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
A2522853,8.24307692307692,8.92409152086137,187.405921938089,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,21,3,18,0,0,45,66,29704,23800,5904,0,9,168,40,208,2,1, ,2,7,1, ,2,1,1,2, , ,2,2500, , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,2,2,1,2,0,0,1,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
A2522857,8.24307692307692,8.92409152086137,276.646837146702,1,25,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,1,0,0,0,0,0,1,0,0,1,3,1, , , , , , , , , ,31,31,0,0,0,66,97,28613,23800,4813,0,9,168,32,200,2,1, ,2,6,2,3,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A2522860,8.24307692307692,8.92409152086137,151.709555854643,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0, ,17,17,0,0,0,41,58,23800,23800,0,0,9,168,0,168,2,2,3,1, ,2,4,2,1,1,1,1, , , , , ,1,0,0,0,0,0,4,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,3,3,3,3,3,2, ,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
A2522864,8.24307692307692,8.92409152086137,151.709555854643,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,17,17,0,0,0,40,57,28671,23800,4871,0,9,168,33,201,2,2,6,1, ,1, ,1, ,1,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
A2522865,8.24307692307692,8.92409152086137,98.1650067294751,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,1,0,0,0,0,0,2, , , , , , , , , , , ,11,11,0,0,0,47,58,28796,23800,4496,500,9,168,34,202,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,3,3,1,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A2522866,8.24307692307692,8.92409152086137,35.6963660834455,1,25,2,2,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,0,1,1,1,1,0,0,0,0,0,2, , , , , , , , , , , ,4,0,3,1,0,44,48,27980,23800,1900,2280,9,168,14,182,2,1, ,2,7,2,3,2,1,1,1,2,2000, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A2522869,8.24307692307692,8.92409152086137,205.254104979812,1,25,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,10,1,0,1,0,0,0,1,0,0,0,1,0,1,1,3,1, , , , , , , , , ,23,10,13,0,0,56,79,30420,23820,6600,0,9,168,46,214,2,1, ,2,5,2,3,2,1,1,1,2,2200, , , , ,0,1,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,3,2,3,4,3,3,1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
A2522871,8.24307692307692,8.92409152086137,62.4686406460296,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,7,7,0,0,0,24,31,28671,23800,4871,0,9,168,33,201,2,1, ,2,3,2,2,2,1,1,2, , ,2,1250, , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A2522872,8.24307692307692,8.92409152086137,62.4686406460296,1,25,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,7,7,0,0,0,91,98,26617,23800,2817,0,9,168,18,186,2,1, ,2,4,1, ,3,1,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,3,4,2,2,1,2,1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
A2522874,8.24307692307692,8.92409152086137,35.6963660834455,1,25,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,4,0,0,0,55,59,24288,24288,0,0,9,168,0,168,2,2,1,2,7,1, ,2,2,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,3,3,3,2,3,2, ,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
A2522879,8.24307692307692,8.92409152086137,35.6963660834455,1,25,2,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,4,0,0,0,29,33,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,2,1500, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,2,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,0,2,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
A2522881,8.24307692307692,8.92409152086137,71.392732166891,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1, , , , , , , , , ,8,0,8,0,0,47,55,27933,23800,4133,0,9,168,28,196,2,2,6,2,3,2,2,3,1,1,1,1, , , , , ,0,1,0,0,0,0,2,1,1,1,0,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
A2522882,8.24307692307692,8.92409152086137,89.2409152086137,1,25,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,10,0,10,0,0,64,74,24280,24280,0,0,9,168,0,168,2,2,3,2,2,1, ,2,1,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,0,0,2,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
A2522886,8.24307692307692,8.92409152086137,142.785464333782,1,25,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,0,0, ,16,0,16,0,0,70,86,23800,23800,0,0,9,168,0,168,2,2,1,2,6,2,3,1, ,1,1,2,1000, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,2,3,3,3,2,3,2, ,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
A2522887,8.24307692307692,8.92409152086137,62.4686406460296,1,25,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,7,0,4,3,0,26,33,28318,23800,4518,0,9,168,34,202,1,1, ,1, ,1, ,2,1,1,2, , ,2,2500, , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,1,1,1,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
A2522889,8.24307692307692,8.92409152086137,98.1650067294751,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,11,11,0,0,0,26,37,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,1, ,1,1,2,2000, , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,1,2,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
A2522892,8.24307692307692,8.92409152086137,80.3168236877523,1,25,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,0, ,9,7,2,0,0,23,32,29918,23800,6118,0,9,168,46,214,1,1, ,1, ,1, ,2,1,1,1,2,2500, , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,0,0,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
A2522893,8.24307692307692,8.92409152086137,17.8481830417227,1,25,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,37,39,25800,23800,0,2000,9,168,0,168,2,1, ,2,6,1, ,2,1,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,2,3,3,3,3,3,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A2522895,8.24307692307692,8.92409152086137,142.785464333782,1,25,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2, , , , , , , , , , , ,16,0,16,0,0,79,95,28200,24000,4200,0,9,168,27,195,2,1, ,2,6,2,6,1, ,1,1,1, , , , , ,1,0,0,0,0,0,4,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,2,3,3,3,2,2, ,1,0,0,2,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
A2522896,8.24307692307692,8.92409152086137,35.6963660834455,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,0,1,0,1,0,0,2, , , , , , , , , , , ,4,0,4,0,0,37,41,28671,23800,4871,0,9,168,33,201,2,1, ,2,7,1, ,2,1,1,1,1, , , , , ,0,0,1,0,0,0,2,1,1,1,1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,2,2,2,4,2,2,2, ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A2522899,8.24307692307692,8.92409152086137,133.861372812921,1,25,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1, , , , , , , , , ,15,15,0,0,0,52,67,31800,23800,8000,0,9,168,46,214,2,1, ,2,2,1, ,2,1,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,1,1,1,1,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
A2522900,8.24307692307692,8.92409152086137,205.254104979812,1,25,2,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0, ,23,16,0,7,0,50,73,28671,23800,4871,0,9,168,33,201,1,1, ,1, ,1, ,2,1,1,2, , ,1, , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,2,2,2,3,2,2,2, ,0,0,1,2,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0
